url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
,"Citizen Kane",movie,"Drama, Mystery",1941,tt0033467,8.3,472546,"AG, BB, BS, BZ, DO, EC, JM, LC, NI, PY, TC, TT, VE"
,"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,516523,"DK, FI, NO, SE"
,Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7,211314,PL
,Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,443310,"AD, AR, BE, BO, BR, BZ, CL, CO, CR, DO, EC, ES, FR, GT, JM, LC, MC, MX, PA, PE, PT, PY, SV, TC, US, UY, VE"
,"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1101752,"AR, BA, BG, BO, BZ, CL, CO, CR, CZ, DO, EC, GT, HR, HU, JM, LC, MD, ME, MK, MX, PA, PE, PL, PY, RO, SI, SK, SV, TC, UY, VE"
,"A History of Violence",movie,"Action, Crime, Drama",2005,tt0399146,7.4,258656,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"2001: A Space Odyssey",movie,"Adventure, Sci-Fi",1968,tt0062622,8.3,734074,"AD, AG, AR, BB, BE, BO, BR, BS, CL, CO, CR, DK, ES, FI, FR, GT, HN, MC, MX, NI, NO, PE, PT, RS, SE, SV, TT, US, UY"
,"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,655140,"BZ, DO, EC, JM, LC, PA, PY, TC, VE"
,"Absolute Power",movie,"Action, Crime, Drama",1997,tt0118548,6.7,61214,"AR, BE, BO, BR, CL, CO, CR, FR, GT, MC, MX, PE, SV, UY"
,"Walk the Line",movie,"Biography, Drama, Music",2005,tt0358273,7.8,269604,"AG, BB, BS, NI, TT"
,"Million Dollar Baby",movie,"Drama, Sport",2004,tt0405159,8.1,732105,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,145723,FR
,"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1206462,AD
,"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,248214,"AR, BE, BO, BR, BZ, CL, CO, CR, DO, EC, ES, FR, GT, JM, LC, MX, PA, PE, PT, PY, SV, TC, UY, VE"
,"Before Sunrise",movie,"Drama, Romance",1995,tt0112471,8.1,348230,"AD, AR, BO, BR, BZ, CL, CO, CR, DO, EC, ES, GT, JM, LC, MX, PA, PE, PT, PY, SV, TC, UY, VE"
,"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,837165,"AD, AR, BE, CO, CZ, DK, ES, FI, FR, MC, NO, PT, RO, SE"
,"Before Sunset",movie,"Drama, Romance",2004,tt0381681,8.1,294301,"AD, AR, BO, BR, BZ, CL, CO, CR, DO, EC, ES, GT, JM, LC, MX, PA, PE, PT, PY, SV, TC, UY, VE"
,"Nausicaä of the Valley of the Wind",movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,186572,"AG, BB, BS, HN, NI, TT, US"
,"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,125748,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Open Water",movie,"Adventure, Drama, Horror",2003,tt0374102,5.8,57291,"HN, RS, US"
,"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,104650,"HN, US"
,"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,947458,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1339262,"BE, FR, MC"
,Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,926134,"BA, BG, BZ, CZ, DO, EC, HR, HU, JM, LC, MD, ME, MK, PA, PL, PY, RO, SI, SK, TC, VE"
,"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,112607,"AG, BB, BS, DK, FI, HN, NI, NO, SE, TT, US"
